Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionSuite_QuickDemo,Chrome 72.0.3626.81,Run quick regression during demo,2019-03-04 21:21:34,2019-03-04 21:21:41,6.114s,PASSED
,,,,,,
Test Cases/WEBUI_Demo/_DemoEval/AUT_Appointments/TC_Login,Chrome 72.0.3626.81,,2019-03-04 21:21:35,2019-03-04 21:21:40,5.268s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-03-04 21:21:35,2019-03-04 21:21:37,2.050s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 72.0.3626.81,,2019-03-04 21:21:37,2019-03-04 21:21:39,2.002s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 72.0.3626.81,,2019-03-04 21:21:39,2019-03-04 21:21:39,0.336s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 72.0.3626.81,,2019-03-04 21:21:39,2019-03-04 21:21:39,0.156s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 72.0.3626.81,,2019-03-04 21:21:39,2019-03-04 21:21:40,0.180s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/whbutton_Login""))",Chrome 72.0.3626.81,,2019-03-04 21:21:40,2019-03-04 21:21:40,0.298s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-03-04 21:21:40,2019-03-04 21:21:40,0.002s,NOT_RUN
