Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Smoke,Chrome 72.0.3626.81,,2019-03-03 17:14:36,2019-03-03 17:14:43,6.650s,PASSED
,,,,,,
Test Cases/WEBUI_Demo/_DemoEval/AUT_Appointments/TC_Login,Chrome 72.0.3626.81,,2019-03-03 17:14:36,2019-03-03 17:14:43,6.434s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-03-03 17:14:36,2019-03-03 17:14:38,2.089s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 72.0.3626.81,,2019-03-03 17:14:38,2019-03-03 17:14:41,2.493s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 72.0.3626.81,,2019-03-03 17:14:41,2019-03-03 17:14:41,0.357s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 72.0.3626.81,,2019-03-03 17:14:41,2019-03-03 17:14:41,0.139s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 72.0.3626.81,,2019-03-03 17:14:41,2019-03-03 17:14:42,0.174s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 72.0.3626.81,,2019-03-03 17:14:42,2019-03-03 17:14:42,0.261s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-03-03 17:14:42,2019-03-03 17:14:43,0.648s,PASSED
