Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Smoke_XYZApp,Chrome 72.0.3626.81,,2019-03-03 19:03:49,2019-03-03 19:04:07,18.992s,FAILED
,,,,,,
Test Cases/WEBUI_Demo/_DemoEval/AUT_Appointments/TC_Login,Chrome 72.0.3626.81,,2019-03-03 19:03:49,2019-03-03 19:04:00,10.542s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-03-03 19:03:50,2019-03-03 19:03:55,5.124s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 72.0.3626.81,,2019-03-03 19:03:55,2019-03-03 19:03:57,2.054s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 72.0.3626.81,,2019-03-03 19:03:57,2019-03-03 19:03:58,0.638s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 72.0.3626.81,,2019-03-03 19:03:58,2019-03-03 19:03:58,0.378s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 72.0.3626.81,,2019-03-03 19:03:58,2019-03-03 19:03:59,0.549s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 72.0.3626.81,,2019-03-03 19:03:59,2019-03-03 19:04:00,0.888s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-03-03 19:04:00,2019-03-03 19:04:00,0.007s,NOT_RUN
,,,,,,
Test Cases/API Testing/USER_API_TESTING/Validate_UserDetails - ForceFailure,Chrome 72.0.3626.81,,2019-03-03 19:04:00,2019-03-03 19:04:05,5.352s,PASSED
"apiUD_Response = sendRequest(findTestObject(""WS_Objects/RESTAPI_GET_SingleUser""))",Chrome 72.0.3626.81,,2019-03-03 19:04:00,2019-03-03 19:04:05,4.633s,PASSED
"verifyResponseStatusCode(apiUD_Response, 200)",Chrome 72.0.3626.81,,2019-03-03 19:04:05,2019-03-03 19:04:05,0.025s,PASSED
"verifyElementPropertyValue(apiUD_Response, ""data.first_name"", ""Janet"")",Chrome 72.0.3626.81,,2019-03-03 19:04:05,2019-03-03 19:04:05,0.106s,PASSED
,,,,,,
Test Cases/API Testing/USER_API_TESTING/Validate_UserDetails,Chrome 72.0.3626.81,,2019-03-03 19:04:05,2019-03-03 19:04:07,1.554s,FAILED
"apiUD_Response = sendRequest(findTestObject(""WS_Objects/RESTAPI_GET_SingleUser""))",Chrome 72.0.3626.81,,2019-03-03 19:04:05,2019-03-03 19:04:07,1.091s,PASSED
"verifyResponseStatusCode(apiUD_Response, 200)",Chrome 72.0.3626.81,,2019-03-03 19:04:07,2019-03-03 19:04:07,0.006s,PASSED
"verifyElementPropertyValue(apiUD_Response, ""data.first_name"", ""Wanda"")",Chrome 72.0.3626.81,,2019-03-03 19:04:07,2019-03-03 19:04:07,0.074s,FAILED
