Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionSuite_QuickDemo,Chrome 72.0.3626.81,Run quick regression during demo.,2019-03-05 11:59:17,2019-03-05 11:59:24,7.614s,PASSED
,,,,,,
Test Cases/WEBUI_Demo/_DemoEval/AUT_Appointments/TC_Login,Chrome 72.0.3626.81,,2019-03-05 11:59:17,2019-03-05 11:59:20,3.539s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-03-05 11:59:17,2019-03-05 11:59:19,1.971s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 72.0.3626.81,,2019-03-05 11:59:19,2019-03-05 11:59:20,0.583s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 72.0.3626.81,,2019-03-05 11:59:20,2019-03-05 11:59:20,0.214s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 72.0.3626.81,,2019-03-05 11:59:20,2019-03-05 11:59:20,0.178s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 72.0.3626.81,,2019-03-05 11:59:20,2019-03-05 11:59:20,0.174s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/whbutton_Login""))",Chrome 72.0.3626.81,,2019-03-05 11:59:20,2019-03-05 11:59:20,0.178s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-03-05 11:59:20,2019-03-05 11:59:20,0.002s,NOT_RUN
,,,,,,
Test Cases/WEBUI_Demo/_DemoEval/AUT_Appointments/TC_LoginFailure,Chrome 72.0.3626.81,,2019-03-05 11:59:20,2019-03-05 11:59:24,3.239s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-03-05 11:59:21,2019-03-05 11:59:22,1.785s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 72.0.3626.81,,2019-03-05 11:59:22,2019-03-05 11:59:23,0.528s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 72.0.3626.81,,2019-03-05 11:59:23,2019-03-05 11:59:23,0.222s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""WHayes"")",Chrome 72.0.3626.81,,2019-03-05 11:59:23,2019-03-05 11:59:23,0.186s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 72.0.3626.81,,2019-03-05 11:59:23,2019-03-05 11:59:23,0.131s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/whbutton_Login""))",Chrome 72.0.3626.81,,2019-03-05 11:59:23,2019-03-05 11:59:24,0.204s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-03-05 11:59:24,2019-03-05 11:59:24,0.001s,NOT_RUN
